id|letter|LETTER|bit value|word key
0|a|A|000000|AGREGAT
1|ą|Ą|000001|ANTENA
2|b|B|000010|BOMBA
3|c|C|000011|CYLINDER
4|ć|Ć|000100|ĆWIEK
5|d|D|000101|DOBROĆ
6|e|E|000110|EKRAN
7|ę|Ę|000111|ENERGIA
8|f|F|001000|FILTR
9|g|G|001001|GRA
10|h|H|001010|HENR
11|i|I|001011|INDUKCJA
12|j|J|001100|JĄDRO
13|k|K|001101|KOMÓRKA
14|l|L|001110|LAMPA
15|ł|Ł|001111|ŁOŻYSKO
16|m|M|010000|MONITOR
17|n|N|010001|NAPIĘCIE
18|ń|Ń|010010|NIEZMIENNOŚĆ
19|o|O|010011|OMEGA
20|ó|Ó|010100|ÓSMY
21|p|P|010101|PIORUN
22|q|Q|010110|KUTER
23|r|R|010111|ROTOR
24|s|S|011000|SZKŁO
25|ś|Ś|011001|ŚRUT
26|t|T|011010|TELEKOMUNIKACJA
27|u|U|011011|URBANIZACJA
28|v|V|011100|WIELOKROTNOŚĆ
29|w|W|011101|WARIANCJA
30|x|X|011110|KSERO
31|y|Y|011111|YETI
32|z|Z|100000|ZAŁĄCZNIK
33|ź|Ź|100001|ŹLEŹĆ
34|ż|Ż|100010|ŻADEN
