layer|ABBR|keycodes
1|BIC|
2|DIC|
3|CGIC|7
4|WIC|
5|SIC|
6|RFLC|
7|AFLC|
8|OFLC|
9|XFLC|
10|RFC|2
11|BSC|
12|OWSC|
13|IWSC|
14|TC|SZYFR
15|ATC|SZYFR
16|BSTC|SZYFR
17|STC|SZYFR 3
18|AsTC|SZYFR 2 1
19|AsTC|SZYFR 1 2
20|LWC|
21|AKC|SZYFROWANIE
22|AVC|7
23|ABC|
24|AtTC|5
25|AtTC|7
26|AVC|-7
27|RAC|
28|RGIC|
29|NLC|
30|KC|
31|CGIC|7
32|CGIC|5
33|FC|35
34|CC|9
35|CC|8
36|CC|7
37|CC|6
38|CC|5
39|CC|4
40|CC|3
41|CC|2
42|iC|math 1 0
43|NLC|
44|KC|
45|CGIC|5
46|CGIC|7
47|FC|35
48|CC|9
49|CC|8
50|CC|7
51|CC|6
52|CC|5
53|CC|4
54|CC|3
55|CC|2
56|MiC|1 0
57|NLC|
58|KC|
59|CGIC|35
60|CGIC|5
61|FC|7
62|CC|9
63|CC|8
64|CC|7
65|CC|6
66|CC|5
67|CC|4
68|CC|3
69|CC|2
70|SiC|math 1 0
71|NLC|
72|KC|
73|CGIC|5
74|CGIC|35
75|FC|7
76|CC|9
77|CC|8
78|CC|7
79|CC|6
80|CC|5
81|CC|4
82|CC|3
83|CC|2
84|MSiC|1 0
85|NLC|
86|KC|
87|CGIC|7
88|CGIC|35
89|FC|5
90|CC|9
91|CC|8
92|CC|7
93|CC|6
94|CC|5
95|CC|4
96|CC|3
97|CC|2
98|HC|
99|NLC|
100|KC|
101|CGIC|35
102|CGIC|7
103|FC|5
104|CC|9
105|CC|8
106|CC|7
107|CC|6
108|CC|5
109|CC|4
110|CC|3
111|CC|2
112|cc|344343
